property_id,city,property_type,area_sqft,bedrooms,bathrooms,property_age,distance_to_metro_km,crime_index,school_rating,parking_spaces,furnished,listing_date,price,sold,market_segment
30,Bengaluru,Apartment,1607,3,2,4,6.24,38.65,9.8,3,Yes,2025-02-28,1805974,1,Budget
31,Delhi,Independent House,3920,7,5,11,16.77,40.07,7.8,1,No,2023-08-15,3828085,0,Budget
32,Mumbai,Villa,2793,6,1,10,17.96,51.99,7.3,2,No,2022-09-17,2366495,0,Budget
33,Bengaluru,Villa,3639,5,2,19,12.87,88.18,4.1,1,Yes,2022-01-24,839881,1,Budget
34,Pune,Apartment,2039,2,2,33,15.21,88.34,5.1,0,Yes,2024-10-10,500000,1,Budget
35,Hyderabad,Villa,3876,7,2,38,4.15,84.4,3.2,2,Yes,2024-05-02,2356078,0,Budget
36,Delhi,Independent House,3048,5,4,9,2.71,5.4,2.1,1,Yes,2022-06-04,3000146,0,Budget
37,Bengaluru,Apartment,3995,1,3,7,4.06,77.08,5.7,2,Yes,2024-03-23,2016735,0,Budget
38,Mumbai,Villa,2483,5,3,18,11.01,95.45,4.4,2,Yes,2024-06-14,1330885,1,Budget
39,Mumbai,Villa,1439,3,2,23,18.79,37.82,1.3,2,No,2023-10-20,1037977,1,Budget
40,Nashik,Plot,3121,7,1,38,18.31,64.86,6.4,0,No,2025-05-08,1475968,1,Budget
41,Nashik,Villa,3159,4,5,0,10.93,67.1,5.4,1,Yes,2023-06-16,2472899,0,Budget
42,Chennai,Villa,1386,5,4,17,18.85,6.3,8.2,0,No,2023-07-04,2292984,0,Budget
43,Pune,Plot,2870,1,3,31,8.37,86.51,3.8,2,Yes,2024-01-14,1061307,1,Budget
44,Ahmedabad,Apartment,1359,3,5,36,15.36,17.06,9.7,2,No,2022-11-01,1765308,1,Budget
45,Bengaluru,Apartment,2652,7,1,6,3.13,4.74,3.6,3,Yes,2024-02-04,2978388,0,Budget
46,Bengaluru,Independent House,4652,4,2,27,17.37,22.26,2.2,2,Yes,2023-10-20,1874444,0,Budget
47,Ahmedabad,Plot,698,7,4,24,17.09,87.6,8.4,1,Yes,2023-03-07,1550870,1,Budget
48,Chennai,Apartment,418,5,1,18,19.22,84.36,9.2,2,No,2025-04-17,913513,1,Budget
49,Hyderabad,Villa,1922,6,3,2,10.14,79.45,6.5,3,No,2022-03-30,2952884,0,Budget
50,Hyderabad,Villa,2585,2,2,11,11.17,48.11,4.9,2,No,2025-05-06,935197,1,Budget
51,Chennai,Villa,1099,5,5,0,5.89,93.65,5.9,1,Yes,2024-05-12,1598064,1,Budget
52,Hyderabad,Independent House,4538,2,2,13,19.2,85.86,8.7,0,Yes,2025-10-29,703725,1,Budget
53,Nashik,Apartment,1024,1,3,37,3.94,99.65,7.8,3,No,2023-09-01,529302,1,Budget
54,Bengaluru,Plot,2816,6,4,1,16.62,56.16,6.0,2,Yes,2025-01-27,3260454,0,Budget
55,Chennai,Apartment,4474,4,5,23,15.76,91.37,9.9,3,No,2023-12-20,2700302,0,Budget
56,Bengaluru,Plot,1552,5,1,14,2.39,78.29,1.4,3,No,2023-07-03,1603340,1,Budget
57,Ahmedabad,Plot,1698,7,3,24,1.32,94.65,6.3,2,No,2022-09-27,3212854,0,Budget
58,Mumbai,Apartment,775,4,3,33,2.32,92.31,8.6,2,No,2024-10-15,1858530,1,Budget
59,Nashik,Villa,4392,6,5,14,19.53,33.49,8.9,2,No,2025-12-20,3288780,0,Budget
60,Delhi,Villa,1782,2,2,12,5.26,50.27,5.5,0,No,2025-09-17,998579,1,Budget
61,Nashik,Plot,1251,3,4,24,16.59,64.56,3.0,3,Yes,2024-08-17,1236487,1,Budget
62,Chennai,Villa,1707,6,2,1,3.63,37.81,9.2,1,No,2024-11-13,2796909,0,Budget
63,Delhi,Independent House,3578,1,5,33,5.9,71.86,2.0,0,No,2022-10-03,902900,1,Budget
64,Mumbai,Independent House,882,5,5,32,13.64,79.37,5.0,3,Yes,2022-10-01,2023417,0,Budget
65,Chennai,Plot,1447,3,3,34,6.53,72.84,4.7,1,Yes,2025-06-27,2070790,0,Budget
66,Pune,Villa,1318,6,4,11,15.81,8.48,7.6,0,Yes,2022-04-29,3130716,0,Budget
67,Bengaluru,Plot,2928,1,3,32,10.1,89.67,5.5,2,Yes,2024-06-21,885676,1,Budget
68,Mumbai,Independent House,4483,7,3,34,3.39,76.26,4.3,0,Yes,2025-06-11,2437083,0,Budget
69,Bengaluru,Independent House,2765,2,3,11,6.19,13.62,5.5,2,No,2022-08-31,1501592,1,Budget
70,Hyderabad,Independent House,2590,1,1,11,12.27,33.38,7.9,3,Yes,2023-01-18,1650692,1,Budget
71,Pune,Apartment,2447,4,3,1,9.0,22.24,4.3,1,No,2025-05-10,2180416,0,Budget
72,Pune,Independent House,2134,2,4,37,10.89,65.88,5.1,1,No,2022-04-12,1253937,1,Budget
73,Mumbai,Villa,1936,6,2,28,6.26,99.86,1.8,0,No,2023-12-21,1720183,1,Budget
74,Pune,Apartment,2772,1,5,21,8.3,79.3,7.8,3,No,2024-08-31,1654513,1,Budget
75,Delhi,Independent House,1949,4,3,15,9.72,82.03,2.0,0,No,2025-09-11,630850,1,Budget
76,Pune,Villa,1645,6,5,9,5.57,22.95,1.9,3,No,2022-06-28,2354582,0,Budget
77,Bengaluru,Independent House,2933,4,3,36,5.1,11.03,4.4,0,No,2023-09-29,2179863,0,Budget
78,Bengaluru,Villa,2214,5,1,16,10.07,54.77,8.9,2,Yes,2024-10-05,2922155,0,Budget
79,Chennai,Villa,3926,5,1,35,0.37,63.98,3.7,0,No,2023-03-10,1503433,1,Budget
80,Bengaluru,Independent House,1531,1,3,14,17.51,22.66,7.5,0,No,2023-10-31,500000,1,Budget
81,Chennai,Independent House,4865,4,5,39,2.29,35.47,6.0,1,Yes,2024-04-24,3139525,0,Budget
82,Bengaluru,Apartment,3359,3,3,30,0.87,99.76,4.2,1,Yes,2023-11-24,2188500,0,Budget
83,Delhi,Independent House,4888,4,2,22,6.19,21.76,3.1,2,No,2025-09-22,1852857,1,Budget
84,Ahmedabad,Villa,4614,7,3,30,8.08,43.64,4.4,1,Yes,2025-12-19,3086169,0,Budget
85,Chennai,Plot,2173,2,5,36,4.3,77.26,5.1,1,Yes,2022-01-20,2426819,0,Budget
86,Nashik,Apartment,4849,1,3,21,11.52,32.39,3.6,0,No,2024-09-14,1645515,1,Budget
87,Hyderabad,Villa,1165,1,5,6,2.43,88.7,2.5,2,No,2022-10-19,500000,1,Budget
88,Mumbai,Villa,3404,5,3,9,6.34,65.7,4.0,3,No,2023-01-04,1509541,1,Budget
89,Bengaluru,Plot,1980,7,3,39,18.6,65.65,3.2,0,No,2024-04-14,1480464,1,Budget
90,Pune,Independent House,2061,4,1,1,6.6,52.54,6.7,0,No,2023-01-15,767608,1,Budget
91,Ahmedabad,Villa,2070,5,4,29,16.19,93.79,7.0,0,Yes,2024-03-27,2167893,0,Budget
92,Bengaluru,Plot,1487,6,3,26,14.58,39.13,1.3,1,No,2022-11-02,2593212,0,Budget
93,Pune,Plot,4347,4,5,33,5.73,23.33,9.7,1,Yes,2025-04-18,2573955,0,Budget
94,Hyderabad,Independent House,3889,6,4,11,4.4,24.64,1.9,0,No,2025-05-18,2611404,0,Budget
95,Hyderabad,Plot,4777,1,4,34,8.42,87.07,4.5,0,No,2024-11-20,1481664,1,Budget
96,Hyderabad,Plot,3000,2,2,39,18.64,60.13,8.5,1,Yes,2024-11-17,500000,1,Budget
97,Pune,Plot,2889,2,2,10,3.17,76.67,5.2,1,Yes,2024-02-12,500000,1,Budget
98,Bengaluru,Plot,3781,2,3,9,6.01,59.72,1.6,1,No,2023-09-09,1535347,1,Budget
99,Hyderabad,Plot,1836,1,5,18,1.4,88.38,4.5,3,Yes,2022-01-29,1011839,1,Budget
100,Delhi,Plot,1215,5,3,23,12.48,94.51,1.4,3,Yes,2024-11-02,1517062,1,Budget
101,Chennai,Villa,631,4,5,11,2.62,26.58,9.6,0,Yes,2024-05-01,3304719,0,Budget
102,Pune,Apartment,1884,5,4,38,7.21,45.33,3.7,1,No,2024-01-18,1834042,1,Budget
103,Pune,Independent House,4055,1,1,38,12.7,13.14,7.2,2,No,2023-03-15,1484694,1,Budget
104,Bengaluru,Apartment,1878,6,3,20,13.62,66.43,5.3,2,Yes,2023-10-28,1330598,1,Budget
105,Pune,Independent House,4884,5,4,21,10.96,40.93,3.6,2,Yes,2023-09-23,2517081,0,Budget
106,Pune,Apartment,1731,7,3,15,2.27,99.27,1.6,0,No,2023-02-01,1597545,1,Budget
107,Hyderabad,Independent House,1680,3,5,18,14.66,74.51,1.0,0,No,2022-02-05,2024351,0,Budget
108,Bengaluru,Plot,2821,7,3,30,4.0,25.54,6.5,3,No,2023-02-24,2954684,0,Budget
109,Hyderabad,Apartment,4023,4,1,12,13.37,85.94,3.6,2,Yes,2022-07-29,1792283,1,Budget
110,Chennai,Apartment,2639,1,3,34,16.26,18.67,8.9,1,No,2024-12-17,1044123,1,Budget
111,Ahmedabad,Independent House,3994,3,4,11,6.57,49.08,6.3,3,No,2023-11-14,2333238,0,Budget
112,Chennai,Independent House,1805,5,4,37,7.17,64.21,2.6,2,No,2025-12-13,1418729,1,Budget
113,Ahmedabad,Villa,2287,2,4,2,16.44,58.36,7.1,2,No,2023-09-14,1885544,0,Budget
114,Hyderabad,Plot,2582,5,1,5,13.72,89.26,5.0,1,Yes,2025-01-31,1829035,1,Budget
115,Chennai,Plot,578,1,1,22,11.57,53.04,1.2,2,Yes,2022-03-30,617733,1,Budget
116,Bengaluru,Villa,950,6,1,26,6.2,83.71,1.4,3,No,2025-11-12,1185518,1,Budget
117,Mumbai,Independent House,4474,2,2,21,11.18,20.27,6.8,2,No,2024-05-21,1743369,1,Budget
118,Hyderabad,Plot,3766,5,4,0,14.99,60.86,6.6,0,No,2025-02-05,2172470,0,Budget
119,Ahmedabad,Independent House,4652,1,4,11,1.61,32.28,3.4,2,No,2025-10-24,1373190,1,Budget
120,Delhi,Plot,600,3,1,32,10.05,54.83,7.4,0,Yes,2025-03-14,704293,1,Budget
121,Ahmedabad,Apartment,4295,3,2,4,3.47,82.22,8.3,1,No,2024-08-24,1807047,1,Budget
122,Delhi,Apartment,1746,2,2,12,19.94,91.32,5.7,2,Yes,2025-08-14,500000,1,Budget
123,Pune,Plot,4840,5,1,5,9.08,86.94,1.5,3,No,2022-07-16,1459350,1,Budget
124,Chennai,Plot,2863,3,2,23,4.1,16.96,7.8,3,No,2025-12-10,2603126,0,Budget
125,Delhi,Plot,2544,6,1,30,7.24,46.57,8.0,3,No,2024-10-15,2760893,0,Budget
126,Ahmedabad,Villa,1020,5,4,9,1.41,79.92,8.3,3,Yes,2025-04-13,2774538,0,Budget
127,Pune,Plot,2177,3,3,33,10.99,61.71,6.7,0,Yes,2022-11-13,1016491,1,Budget
128,Mumbai,Villa,4280,1,4,38,14.81,42.63,9.2,3,No,2022-04-27,1574071,1,Budget
129,Bengaluru,Villa,1532,2,4,24,14.56,25.52,4.8,1,Yes,2024-10-09,1916279,0,Budget
130,Bengaluru,Apartment,1354,2,5,37,17.76,67.51,7.1,0,Yes,2023-08-16,500000,1,Budget
131,Bengaluru,Plot,531,6,4,33,11.42,22.61,3.2,3,No,2022-09-25,2244074,0,Budget
132,Delhi,Apartment,1004,4,5,6,14.67,93.93,1.6,2,Yes,2024-07-08,1187412,1,Budget
133,Mumbai,Apartment,1800,3,2,18,14.62,36.95,9.0,1,No,2023-03-05,1073962,1,Budget
134,Delhi,Villa,3666,3,1,26,3.28,51.09,9.4,0,No,2025-07-12,1495216,1,Budget
135,Chennai,Independent House,4753,4,2,6,11.57,93.84,1.9,0,Yes,2025-04-08,1059414,1,Budget
136,Delhi,Villa,4475,5,2,4,15.73,22.69,1.7,2,Yes,2022-12-17,2199559,0,Budget
137,Mumbai,Apartment,4339,2,3,24,15.3,11.75,4.9,3,No,2025-08-06,1351996,1,Budget
138,Mumbai,Villa,3293,2,1,8,8.97,97.61,9.3,2,Yes,2024-09-20,1166788,1,Budget
139,Chennai,Villa,2948,2,3,6,1.2,10.21,5.8,1,Yes,2025-12-08,1257780,1,Budget
140,Mumbai,Villa,4283,1,3,21,11.22,57.44,10.0,2,Yes,2022-06-24,1915993,0,Budget
141,Ahmedabad,Plot,2285,7,3,7,12.32,48.18,7.5,0,Yes,2025-07-07,3605839,0,Budget
142,Mumbai,Villa,738,5,4,15,13.0,84.46,9.8,0,No,2022-09-20,2722716,0,Budget
143,Bengaluru,Apartment,2466,6,2,4,17.19,47.76,6.9,1,Yes,2025-05-28,2502882,0,Budget
144,Ahmedabad,Villa,1310,4,1,5,17.25,78.73,8.7,3,No,2022-01-15,1295332,1,Budget
145,Ahmedabad,Plot,4396,2,4,29,17.69,95.31,7.7,3,No,2025-08-22,1417751,1,Budget
146,Chennai,Apartment,1253,3,3,7,13.47,64.7,8.5,0,No,2023-12-28,1366823,1,Budget
147,Nashik,Villa,4670,3,3,26,0.23,59.05,9.4,2,Yes,2024-08-25,1862868,1,Budget
148,Nashik,Apartment,4486,5,3,2,11.28,19.86,7.1,0,Yes,2022-02-09,3312133,0,Budget
149,Mumbai,Plot,1296,1,3,36,5.68,80.44,5.5,2,No,2023-02-23,500000,1,Budget
150,Ahmedabad,Independent House,632,7,5,17,8.61,79.55,8.8,3,Yes,2022-06-28,2706145,0,Budget
151,Nashik,Plot,3158,4,5,35,2.75,80.23,6.6,0,No,2025-07-01,2326618,0,Budget
152,Nashik,Plot,1224,6,3,19,13.69,38.84,2.1,0,No,2025-03-27,1874640,0,Budget
153,Mumbai,Apartment,524,2,5,16,12.05,12.04,4.5,0,Yes,2025-10-20,1487054,1,Budget
154,Nashik,Apartment,4056,7,1,23,10.75,4.48,4.3,2,Yes,2025-08-27,3349789,0,Budget
155,Delhi,Independent House,1097,4,3,34,8.49,95.75,7.6,3,Yes,2022-05-21,1127947,1,Budget
156,Pune,Independent House,1461,7,5,7,7.62,54.33,1.3,1,Yes,2023-02-24,2341472,0,Budget
157,Chennai,Independent House,647,6,5,4,8.57,93.4,4.6,3,No,2024-09-25,2443117,0,Budget
158,Pune,Plot,4495,4,2,3,12.68,62.68,3.3,0,Yes,2022-09-11,1984493,0,Budget
159,Mumbai,Plot,2406,6,2,35,3.7,52.16,6.1,2,No,2024-01-08,2376512,0,Budget
160,Bengaluru,Independent House,2319,6,1,22,0.7,50.93,3.2,2,No,2023-02-18,1583058,1,Budget
161,Chennai,Independent House,2011,3,3,0,7.49,95.79,7.6,2,Yes,2022-08-11,1668977,1,Budget
162,Mumbai,Independent House,540,1,2,6,2.95,5.61,3.6,2,No,2023-03-08,546191,1,Budget
163,Ahmedabad,Villa,4592,2,3,16,12.82,62.31,1.8,0,No,2024-07-20,1831663,1,Budget
164,Bengaluru,Villa,4063,3,2,27,11.51,40.04,6.7,3,No,2023-02-15,1878586,0,Budget
165,Pune,Independent House,3727,3,3,6,19.93,16.26,8.5,1,No,2023-04-19,1820826,1,Budget
166,Mumbai,Plot,1777,6,5,16,0.23,47.52,2.1,0,No,2023-12-10,2126187,0,Budget
167,Ahmedabad,Apartment,4440,3,5,34,12.8,98.24,9.8,3,No,2024-09-30,1062090,1,Budget
168,Chennai,Plot,3263,3,1,31,8.45,94.03,7.7,3,No,2022-08-17,897800,1,Budget
169,Chennai,Apartment,1950,4,4,24,19.83,13.56,7.4,2,No,2023-05-14,1435685,1,Budget
170,Hyderabad,Independent House,2417,1,5,16,13.18,92.55,2.2,3,Yes,2023-03-03,1767741,1,Budget
171,Ahmedabad,Villa,1207,4,2,32,15.01,94.65,2.8,3,No,2023-11-28,1022542,1,Budget
172,Delhi,Villa,3245,1,3,27,19.33,7.97,8.6,0,Yes,2025-05-12,987775,1,Budget
173,Nashik,Apartment,3839,1,3,33,2.34,14.66,5.8,0,Yes,2025-11-04,500000,1,Budget
174,Bengaluru,Independent House,2712,7,1,39,17.62,53.36,7.6,3,Yes,2023-05-05,2486371,0,Budget
175,Ahmedabad,Villa,1071,6,5,10,6.08,44.06,2.4,1,No,2022-04-07,2586081,0,Budget
176,Hyderabad,Independent House,704,2,4,39,7.69,46.81,9.4,2,No,2025-08-22,1690891,1,Budget
177,Nashik,Independent House,2876,4,4,9,17.42,55.82,8.0,0,Yes,2023-03-14,1666666,1,Budget
178,Nashik,Apartment,1711,5,4,32,11.65,76.1,7.4,1,No,2024-09-30,1645737,1,Budget
179,Mumbai,Independent House,3240,6,4,4,11.63,15.76,9.6,3,Yes,2025-07-07,2709405,0,Budget
180,Nashik,Independent House,4333,7,5,37,8.28,6.45,4.7,3,No,2025-07-24,3822793,0,Budget
181,Delhi,Apartment,4532,1,5,22,1.17,55.09,3.6,2,Yes,2024-06-10,1987141,0,Budget
182,Chennai,Villa,4796,5,4,21,14.0,97.92,3.1,1,Yes,2022-04-10,1575957,1,Budget
183,Hyderabad,Plot,535,3,3,4,15.96,40.13,9.9,3,Yes,2022-10-26,1048214,1,Budget
184,Nashik,Independent House,3712,7,3,24,15.0,7.2,4.7,2,No,2023-04-14,3614768,0,Budget
185,Mumbai,Apartment,4670,1,3,32,16.18,20.18,7.4,2,Yes,2023-12-21,500000,1,Budget
186,Delhi,Villa,3251,1,2,36,7.31,6.95,3.5,3,Yes,2025-01-10,892843,1,Budget
187,Pune,Independent House,3432,6,5,4,18.51,31.7,3.5,3,Yes,2024-05-08,3325003,0,Budget
188,Chennai,Plot,2806,4,3,6,19.42,15.24,6.2,1,No,2025-07-24,1465594,1,Budget
189,Chennai,Villa,4377,1,5,1,16.35,8.04,7.1,2,No,2024-01-07,2733088,0,Budget
190,Hyderabad,Apartment,2704,7,4,11,15.91,87.63,2.2,1,Yes,2024-10-17,1509877,1,Budget
191,Chennai,Independent House,3465,5,5,16,15.85,9.65,6.3,1,No,2024-12-22,1658548,1,Budget
192,Nashik,Apartment,1641,1,4,14,4.47,51.2,6.5,1,Yes,2024-07-26,1526876,1,Budget
193,Mumbai,Plot,3567,2,1,33,8.89,69.91,8.3,0,No,2025-09-12,835826,1,Budget
194,Chennai,Plot,4070,2,5,26,2.47,4.2,5.8,2,No,2022-05-02,2561516,0,Budget
195,Chennai,Apartment,530,4,2,3,9.46,57.97,2.6,2,Yes,2024-11-02,1781373,1,Budget
196,Pune,Independent House,1026,2,5,4,9.15,92.9,9.8,0,No,2022-04-06,1480885,1,Budget
197,Pune,Apartment,687,1,5,18,1.04,84.64,5.0,1,No,2024-11-03,1292703,1,Budget
198,Bengaluru,Villa,3107,7,3,11,13.35,88.11,5.8,1,No,2025-06-26,3053532,0,Budget
199,Delhi,Apartment,2503,7,1,22,2.0,49.05,9.7,3,Yes,2023-05-01,3408238,0,Budget
200,Nashik,Plot,2447,2,3,19,12.14,71.02,9.4,3,No,2022-07-31,1816868,1,Budget
201,Chennai,Independent House,2781,6,4,0,8.05,12.25,7.0,3,Yes,2023-09-15,3558745,0,Budget
202,Ahmedabad,Independent House,2034,3,1,14,15.67,49.62,2.6,1,No,2022-02-15,500000,1,Budget
203,Chennai,Plot,1995,4,1,20,19.25,24.96,2.5,2,Yes,2024-12-08,1123580,1,Budget
204,Mumbai,Plot,3655,6,1,9,9.31,24.82,4.9,1,No,2023-09-06,2058231,0,Budget
205,Bengaluru,Villa,1086,1,5,36,8.74,54.68,2.3,1,Yes,2022-03-11,1083984,1,Budget
206,Delhi,Plot,3111,2,3,0,3.75,98.52,7.1,0,Yes,2023-10-09,1171498,1,Budget
207,Ahmedabad,Plot,4499,3,4,24,1.36,57.68,8.9,3,Yes,2025-10-28,2920277,0,Budget
208,Bengaluru,Plot,2011,2,5,9,6.51,5.58,3.8,3,Yes,2025-06-08,1663471,1,Budget
209,Hyderabad,Independent House,2882,2,2,19,9.41,13.67,5.9,3,Yes,2022-09-06,1387478,1,Budget
210,Delhi,Plot,4462,2,2,11,15.54,19.34,2.0,1,No,2022-02-14,1253080,1,Budget
211,Chennai,Apartment,1394,1,2,26,0.37,38.94,3.3,2,Yes,2023-05-22,912626,1,Budget
212,Chennai,Apartment,1801,4,3,35,12.27,56.37,2.4,2,Yes,2025-01-28,926579,1,Budget
213,Delhi,Independent House,1953,3,5,11,8.28,82.48,2.4,1,Yes,2025-11-19,1184786,1,Budget
214,Chennai,Villa,3275,4,1,8,3.5,88.58,4.4,3,Yes,2022-09-24,2030533,0,Budget
215,Nashik,Villa,3627,6,5,14,10.51,75.99,6.2,3,No,2025-12-03,1935921,0,Budget
216,Delhi,Independent House,3970,4,5,38,17.73,9.15,2.1,1,Yes,2023-07-29,1113405,1,Budget
217,Bengaluru,Apartment,1059,5,1,32,3.28,22.5,4.3,1,No,2025-04-18,1424054,1,Budget
218,Delhi,Independent House,1364,7,2,4,17.34,25.2,2.6,2,No,2022-08-15,3919735,0,Budget
219,Ahmedabad,Plot,2474,3,1,2,2.49,50.61,5.9,0,No,2025-12-23,1619345,1,Budget
220,Chennai,Independent House,1387,1,2,8,18.43,17.58,6.2,2,Yes,2023-03-24,1280063,1,Budget
221,Nashik,Villa,1012,1,5,37,19.2,32.61,1.8,2,Yes,2024-02-24,500000,1,Budget
222,Nashik,Apartment,2530,7,2,24,13.64,24.63,9.4,0,Yes,2024-08-05,2506440,0,Budget
223,Hyderabad,Villa,3614,6,1,31,1.6,93.15,5.2,0,Yes,2024-09-13,1021122,1,Budget
224,Bengaluru,Villa,1676,5,4,14,9.26,12.21,10.0,3,Yes,2025-08-16,3254013,0,Budget
225,Pune,Apartment,2544,5,2,16,9.4,24.06,7.9,1,Yes,2023-05-08,3248490,0,Budget
226,Pune,Plot,3906,5,3,39,4.81,4.9,9.5,1,No,2023-08-09,2729360,0,Budget
227,Delhi,Apartment,628,5,5,38,17.21,9.62,7.4,1,No,2023-12-28,2779660,0,Budget
228,Hyderabad,Apartment,1418,1,1,22,1.42,9.31,1.4,3,No,2023-04-27,683164,1,Budget
229,Mumbai,Independent House,1620,1,1,15,5.39,23.95,8.9,2,Yes,2024-05-29,580475,1,Budget
230,Delhi,Apartment,3279,7,4,34,1.3,56.88,5.6,1,Yes,2022-12-09,3134398,0,Budget
231,Hyderabad,Independent House,3757,2,2,17,3.6,13.46,9.1,2,Yes,2024-02-22,1329945,1,Budget
232,Bengaluru,Villa,3504,6,5,18,4.62,8.59,6.1,0,Yes,2022-09-06,2986141,0,Budget
233,Bengaluru,Apartment,1946,4,5,31,17.73,27.78,7.5,0,Yes,2024-02-12,2101225,0,Budget
234,Bengaluru,Plot,2011,4,2,13,0.63,4.37,1.5,1,Yes,2023-11-27,1968457,0,Budget
235,Bengaluru,Independent House,4377,6,5,13,9.77,19.48,5.5,1,No,2023-03-31,3165223,0,Budget
236,Bengaluru,Independent House,4549,4,3,24,5.93,9.25,9.1,3,No,2025-10-03,1874417,0,Budget
237,Hyderabad,Plot,2778,4,2,39,18.23,43.65,2.0,1,Yes,2024-08-01,1119136,1,Budget
238,Hyderabad,Independent House,4643,7,3,21,0.24,13.74,7.3,2,Yes,2025-02-03,2970788,0,Budget
239,Nashik,Independent House,2727,7,3,6,3.98,98.78,8.0,0,Yes,2025-02-02,2777116,0,Budget
240,Ahmedabad,Plot,4911,7,1,10,16.02,85.88,9.9,1,Yes,2025-07-07,3319048,0,Budget
241,Pune,Villa,955,1,5,36,10.66,84.11,2.3,2,No,2025-06-04,661092,1,Budget
242,Chennai,Apartment,605,1,5,18,7.06,98.75,5.3,1,Yes,2025-07-28,569008,1,Budget
243,Bengaluru,Apartment,1401,5,4,3,14.41,3.63,7.7,1,No,2024-07-28,2685863,0,Budget
244,Mumbai,Apartment,4263,7,5,9,17.95,10.2,9.1,0,No,2022-01-09,4038807,0,Budget
245,Chennai,Apartment,517,6,2,3,6.87,99.91,9.0,0,Yes,2022-04-19,1215848,1,Budget
246,Hyderabad,Apartment,2927,1,3,22,7.42,85.58,1.4,2,No,2022-01-07,604460,1,Budget
247,Mumbai,Apartment,4251,7,2,29,14.01,7.47,4.0,3,Yes,2025-02-23,3472891,0,Budget
248,Mumbai,Independent House,4161,1,5,37,12.29,87.28,2.1,3,No,2023-03-26,1067712,1,Budget
249,Mumbai,Apartment,3300,6,2,11,14.03,65.52,9.0,3,Yes,2022-05-02,3906809,0,Budget
250,Nashik,Independent House,1858,2,5,5,12.77,71.7,3.9,3,Yes,2022-08-04,906245,1,Budget
251,Hyderabad,Plot,3101,3,4,17,2.63,3.68,10.0,1,Yes,2022-07-28,1760807,1,Budget
